Tiempo astronómico	Energía	Momento angular
5.63	-0.000111341	-0.00081759
5.64	-0.000111341	-0.00081759
5.65	-0.000111341	-0.00081759
5.66	-0.000111341	-0.00081759
5.67	-0.000111341	-0.00081759
5.68	-0.000111341	-0.00081759
5.69	-0.00011134	-0.00081759
5.7	-0.00011134	-0.00081759
5.71	-0.00011134	-0.00081759
5.72	-0.00011134	-0.00081759
5.73	-0.00011134	-0.00081759
5.74	-0.00011134	-0.00081759
5.75	-0.00011134	-0.00081759
5.76	-0.00011134	-0.00081759
5.77	-0.00011134	-0.00081759
5.78	-0.00011134	-0.00081759
5.79	-0.00011134	-0.00081759
5.8	-0.00011134	-0.00081759
5.81	-0.00011134	-0.00081759
5.82	-0.00011134	-0.00081759
5.83	-0.00011134	-0.00081759
5.84	-0.00011134	-0.00081759
5.85	-0.00011134	-0.00081759
5.86	-0.00011134	-0.00081759
5.87	-0.00011134	-0.00081759
5.88	-0.00011134	-0.00081759
5.89	-0.00011134	-0.00081759
5.9	-0.00011134	-0.00081759
5.91	-0.00011134	-0.00081759
5.92	-0.00011134	-0.00081759
5.93	-0.00011134	-0.00081759
5.94	-0.00011134	-0.00081759
5.95	-0.000111339	-0.00081759
5.96	-0.000111339	-0.00081759
5.97	-0.000111339	-0.00081759
5.98	-0.000111339	-0.00081759
5.99	-0.000111339	-0.00081759
6	-0.000111339	-0.00081759
6.01	-0.000111339	-0.00081759
6.02	-0.000111339	-0.00081759
6.03	-0.000111339	-0.00081759
6.04	-0.000111339	-0.00081759
6.05	-0.000111339	-0.00081759
6.06	-0.000111339	-0.00081759
6.07	-0.000111339	-0.00081759
6.08	-0.000111339	-0.00081759
6.09	-0.000111339	-0.00081759
6.1	-0.000111339	-0.00081759
6.11	-0.000111339	-0.00081759
6.12	-0.000111339	-0.00081759
6.13	-0.000111339	-0.00081759
6.14	-0.000111339	-0.00081759
6.15	-0.000111339	-0.00081759
6.16	-0.000111339	-0.00081759
6.17	-0.000111339	-0.00081759
6.18	-0.000111339	-0.00081759
6.19	-0.000111339	-0.00081759
6.2	-0.000111339	-0.00081759
6.21	-0.000111339	-0.00081759
6.22	-0.000111338	-0.00081759
6.23	-0.000111338	-0.00081759
6.24	-0.000111338	-0.00081759
6.25	-0.000111338	-0.00081759
6.26	-0.000111338	-0.00081759
6.27	-0.000111338	-0.00081759
6.28	-0.000111338	-0.00081759
6.29	-0.000111338	-0.00081759
6.3	-0.000111338	-0.00081759
6.31	-0.000111338	-0.00081759
6.32	-0.000111338	-0.00081759
6.33	-0.000111338	-0.00081759
6.34	-0.000111338	-0.00081759
6.35	-0.000111338	-0.00081759
6.36	-0.000111338	-0.00081759
6.37	-0.000111338	-0.00081759
6.38	-0.000111338	-0.00081759
6.39	-0.000111338	-0.00081759
6.4	-0.000111338	-0.00081759
6.41	-0.000111338	-0.00081759
6.42	-0.000111338	-0.00081759
6.43	-0.000111338	-0.00081759
6.44	-0.000111338	-0.00081759
6.45	-0.000111338	-0.00081759
6.46	-0.000111338	-0.00081759
6.47	-0.000111338	-0.00081759
6.48	-0.000111338	-0.00081759
6.49	-0.000111338	-0.00081759
6.5	-0.000111337	-0.00081759
6.51	-0.000111337	-0.00081759
6.52	-0.000111337	-0.00081759
6.53	-0.000111337	-0.00081759
6.54	-0.000111337	-0.00081759
6.55	-0.000111337	-0.00081759
6.56	-0.000111337	-0.00081759
6.57	-0.000111337	-0.00081759
6.58	-0.000111337	-0.00081759
6.59	-0.000111337	-0.00081759
6.6	-0.000111337	-0.00081759
6.61	-0.000111337	-0.00081759
6.62	-0.000111337	-0.00081759
6.63	-0.000111337	-0.00081759
6.64	-0.000111337	-0.00081759
6.65	-0.000111337	-0.00081759
6.66	-0.000111337	-0.00081759
6.67	-0.000111337	-0.00081759
6.68	-0.000111337	-0.00081759
6.69	-0.000111337	-0.00081759
6.7	-0.000111337	-0.00081759
6.71	-0.000111337	-0.00081759
6.72	-0.000111337	-0.00081759
6.73	-0.000111337	-0.00081759
6.74	-0.000111337	-0.00081759
6.75	-0.000111337	-0.00081759
6.76	-0.000111337	-0.00081759
6.77	-0.000111337	-0.00081759
6.78	-0.000111336	-0.00081759
6.79	-0.000111336	-0.00081759
6.8	-0.000111336	-0.00081759
6.81	-0.000111336	-0.00081759
6.82	-0.000111336	-0.00081759
6.83	-0.000111336	-0.00081759
6.84	-0.000111336	-0.00081759
6.85	-0.000111336	-0.00081759
6.86	-0.000111336	-0.00081759
6.87	-0.000111336	-0.00081759
6.88	-0.000111336	-0.00081759
6.89	-0.000111336	-0.00081759
6.9	-0.000111336	-0.00081759
6.91	-0.000111336	-0.00081759
6.92	-0.000111336	-0.00081759
6.93	-0.000111336	-0.00081759
6.94	-0.000111336	-0.00081759
6.95	-0.000111336	-0.00081759
6.96	-0.000111336	-0.00081759
6.97	-0.000111336	-0.00081759
6.98	-0.000111336	-0.00081759
6.99	-0.000111336	-0.00081759
7	-0.000111336	-0.00081759
7.01	-0.000111336	-0.00081759
7.02	-0.000111336	-0.00081759
7.03	-0.000111336	-0.00081759
7.04	-0.000111336	-0.00081759
7.05	-0.000111336	-0.00081759
7.06	-0.000111336	-0.00081759
7.07	-0.000111336	-0.00081759
7.08	-0.000111335	-0.00081759
7.09	-0.000111335	-0.00081759
7.1	-0.000111335	-0.00081759
7.11	-0.000111335	-0.00081759
7.12	-0.000111335	-0.00081759
7.13	-0.000111335	-0.00081759
7.14	-0.000111335	-0.00081759
7.15	-0.000111335	-0.00081759
7.16	-0.000111335	-0.00081759
7.17	-0.000111335	-0.00081759
7.18	-0.000111335	-0.00081759
7.19	-0.000111335	-0.00081759
7.2	-0.000111335	-0.00081759
7.21	-0.000111335	-0.00081759
7.22	-0.000111335	-0.00081759
7.23	-0.000111335	-0.00081759
7.24	-0.000111335	-0.00081759
7.25	-0.000111335	-0.00081759
7.26	-0.000111335	-0.00081759
7.27	-0.000111335	-0.00081759
7.28	-0.000111335	-0.00081759
7.29	-0.000111335	-0.00081759
7.3	-0.000111335	-0.00081759
7.31	-0.000111335	-0.00081759
7.32	-0.000111335	-0.00081759
7.33	-0.000111335	-0.00081759
7.34	-0.000111335	-0.00081759
7.35	-0.000111335	-0.00081759
7.36	-0.000111335	-0.00081759
7.37	-0.000111335	-0.00081759
7.38	-0.000111334	-0.00081759
7.39	-0.000111334	-0.00081759
7.4	-0.000111334	-0.00081759
7.41	-0.000111334	-0.00081759
7.42	-0.000111334	-0.00081759
7.43	-0.000111334	-0.00081759
